vteColor topics,vteColor topics.1,vteColor topics.2
Color science,Color physics Electromagnetic spectrum Light Rainbow Visible Spectral colors Chromophore Structural coloration Animal coloration Color of chemicals Water Spectral power distribution Colorimetry Color perception Metamerism Color blindness Achromatopsia Dichromacy Evolution of color vision Color vision test Tetrachromacy Opponent process Afterimage Unique hues Impossible colors Chromesthesia Sonochromatism Color task Color code Color constancy Color temperature The dress Color psychology Color symbolism Color preferences Lüscher color test Kruithof curve Political color National colors Chromophobia Chromotherapy Color reproduction Color photography Color balance Color cast Digital image processing Color management Color printing Multi-primary color display Quattron Color model additive RGB subtractive CMYK Color space Color mapping,
Color physics,Electromagnetic spectrum Light Rainbow Visible Spectral colors Chromophore Structural coloration Animal coloration Color of chemicals Water Spectral power distribution Colorimetry,
Color perception,Metamerism Color blindness Achromatopsia Dichromacy Evolution of color vision Color vision test Tetrachromacy Opponent process Afterimage Unique hues Impossible colors Chromesthesia Sonochromatism Color task Color code Color constancy Color temperature The dress,
Color psychology,Color symbolism Color preferences Lüscher color test Kruithof curve Political color National colors Chromophobia Chromotherapy,
Color reproduction,Color photography Color balance Color cast Digital image processing Color management Color printing Multi-primary color display Quattron Color model additive RGB subtractive CMYK Color space Color mapping,
Color philosophy,Color scheme Color tool Monochromatic colors black-and-white Complementary colors Analogous colors Achromatic colors (Neutral) Polychromatic colors Light-on-dark Web colors Tinctures in heraldry Color theory Color mixing Primary color Secondary color Tertiary color Chromaticity Color solid Color wheel Color triangle Color analysis (fashion) Color realism (art style) On Vision and Colours (Schopenhauer) Theory of Colours (Goethe),
Color scheme,Color tool Monochromatic colors black-and-white Complementary colors Analogous colors Achromatic colors (Neutral) Polychromatic colors Light-on-dark Web colors Tinctures in heraldry,
Color theory,Color mixing Primary color Secondary color Tertiary color Chromaticity Color solid Color wheel Color triangle Color analysis (fashion) Color realism (art style) On Vision and Colours (Schopenhauer) Theory of Colours (Goethe),
Color terms,"Basic terms Blue Green Red Yellow Pink Purple Orange Black Gray White Brown Cultural differences Linguistic relativity and the color naming debate Blue–green distinction in language Color history Blue in culture Color in Chinese culture Traditional colors of Japan Human skin color Colorism Color dimensions Hue Dichromatism Colorfulness Pastel colors Luminance Lightness Darkness Brightness Iridescence Fluorescence Grayscale Tint, shade and tone",
Basic terms,Blue Green Red Yellow Pink Purple Orange Black Gray White Brown,
Cultural differences,Linguistic relativity and the color naming debate Blue–green distinction in language Color history Blue in culture Color in Chinese culture Traditional colors of Japan Human skin color Colorism,
Color dimensions,"Hue Dichromatism Colorfulness Pastel colors Luminance Lightness Darkness Brightness Iridescence Fluorescence Grayscale Tint, shade and tone",
Color organizations,Pantone Color Marketing Group Color Association of the United States International Colour Authority International Commission on Illumination (CIE) International Color Consortium International Colour Association,
Lists,List of colors: A–F List of colors: G–M List of colors: N–Z List of colors (compact) List of colors by shade List of color palettes List of color spaces List of Crayola crayon colors history Color chart List of RAL colors List of web colors,
Shades of:,Red Orange Yellow Green Cyan Blue Violet Purple Magenta Pink Brown White Gray Black,
Related,Vision Qualia Lighting,
Category  Index,Category  Index,Category  Index
