0,1,2
,,
HTML name,R G B,R G B
HTML name,Hex,Decimal
Green colors,Green colors,Green colors
DarkGreen,006400,"0, 100, 0"
Green,008000,"0, 128, 0"
DarkOliveGreen,556B2F,"85, 107, 47"
ForestGreen,228B22,"34, 139, 34"
SeaGreen,2E8B57,"46, 139, 87"
Olive,808000,"128, 128, 0"
OliveDrab,6B8E23,"107, 142, 35"
MediumSeaGreen,3CB371,"60, 179, 113"
LimeGreen,32CD32,"50, 205, 50"
Lime,00FF00,"0, 255, 0"
SpringGreen,00FF7F,"0, 255, 127"
MediumSpringGreen,00FA9A,"0, 250, 154"
DarkSeaGreen,8FBC8F,"143, 188, 143"
MediumAquamarine,66CDAA,"102, 205, 170"
YellowGreen,9ACD32,"154, 205, 50"
LawnGreen,7CFC00,"124, 252, 0"
Chartreuse,7FFF00,"127, 255, 0"
LightGreen,90EE90,"144, 238, 144"
GreenYellow,ADFF2F,"173, 255, 47"
PaleGreen,98FB98,"152, 251, 152"
White colors,White colors,White colors
MistyRose,FFE4E1,"255, 228, 225"
AntiqueWhite,FAEBD7,"250, 235, 215"
Linen,FAF0E6,"250, 240, 230"
Beige,F5F5DC,"245, 245, 220"
WhiteSmoke,F5F5F5,"245, 245, 245"
LavenderBlush,FFF0F5,"255, 240, 245"
OldLace,FDF5E6,"253, 245, 230"
AliceBlue,F0F8FF,"240, 248, 255"
Seashell,FFF5EE,"255, 245, 238"
GhostWhite,F8F8FF,"248, 248, 255"
Honeydew,F0FFF0,"240, 255, 240"
FloralWhite,FFFAF0,"255, 250, 240"
Azure,F0FFFF,"240, 255, 255"
MintCream,F5FFFA,"245, 255, 250"
Snow,FFFAFA,"255, 250, 250"
Ivory,FFFFF0,"255, 255, 240"
White,FFFFFF,"255, 255, 255"
Gray and black colors,Gray and black colors,Gray and black colors
Black,000000,"0, 0, 0"
DarkSlateGray,2F4F4F,"47, 79, 79"
DimGray,696969,"105, 105, 105"
SlateGray,708090,"112, 128, 144"
Gray,808080,"128, 128, 128"
LightSlateGray,778899,"119, 136, 153"
DarkGray,A9A9A9,"169, 169, 169"
Silver,C0C0C0,"192, 192, 192"
LightGray,D3D3D3,"211, 211, 211"
Gainsboro,DCDCDC,"220, 220, 220"
